Modelo,F1 macro (validación),F1 Neutral (validación)
Regresión Logística + FE,0.5805419114154192,0.12903225806451613
Regresión Logística (TF-IDF),0.5740192350355746,0.11538461538461539
Naive Bayes,0.5276034529761313,0.013061224489795919
