Modelo,Accuracy,F1 macro
Regresión Logística (clásico),0.8133704735376045,0.8126669626237373
Naive Bayes (clásico),0.807799442896936,0.807650196845808
TextBlob (pre-entrenado),0.7437325905292479,0.7428526938648397
